Epoch, Training Loss, Test Loss, Test Accuracy
168, 0.0081, 0.8340, 78.01
169, 0.0075, 0.8370, 77.93
170, 0.0074, 0.8365, 78.06
171, 0.0073, 0.8367, 77.97
172, 0.0069, 0.8365, 77.96
173, 0.0069, 0.8326, 78.23
174, 0.0067, 0.8316, 77.95
175, 0.0066, 0.8333, 78.08
176, 0.0064, 0.8263, 78.27
177, 0.0063, 0.8248, 78.43
178, 0.0061, 0.8193, 78.37
179, 0.0060, 0.8231, 78.31
180, 0.0059, 0.8262, 78.36
181, 0.0058, 0.8217, 78.50
182, 0.0057, 0.8237, 78.39
183, 0.0056, 0.8234, 78.46
184, 0.0056, 0.8212, 78.55
185, 0.0054, 0.8208, 78.50
186, 0.0055, 0.8199, 78.57
187, 0.0053, 0.8233, 78.43
188, 0.0053, 0.8215, 78.61
189, 0.0053, 0.8218, 78.48
190, 0.0052, 0.8200, 78.54
191, 0.0052, 0.8189, 78.49
192, 0.0052, 0.8212, 78.47
193, 0.0052, 0.8190, 78.60
194, 0.0052, 0.8191, 78.50
195, 0.0051, 0.8223, 78.46
196, 0.0051, 0.8195, 78.57
197, 0.0051, 0.8207, 78.54
198, 0.0050, 0.8202, 78.48
199, 0.0051, 0.8183, 78.53
200, 0.0051, 0.8209, 78.51
