Epoch, Training Loss, Test Loss, Test Accuracy
168, 0.0081, 0.8339, 77.45
169, 0.0076, 0.8410, 77.19
170, 0.0076, 0.8370, 77.41
171, 0.0074, 0.8352, 77.36
172, 0.0071, 0.8346, 77.67
173, 0.0070, 0.8301, 77.37
174, 0.0068, 0.8276, 77.50
175, 0.0066, 0.8334, 77.65
176, 0.0065, 0.8257, 77.49
177, 0.0064, 0.8272, 77.76
178, 0.0062, 0.8230, 77.81
179, 0.0061, 0.8259, 77.90
180, 0.0061, 0.8268, 77.81
181, 0.0059, 0.8208, 78.06
182, 0.0058, 0.8218, 78.07
183, 0.0057, 0.8208, 78.09
184, 0.0057, 0.8221, 78.02
185, 0.0055, 0.8210, 77.94
186, 0.0055, 0.8196, 77.87
187, 0.0054, 0.8201, 77.90
188, 0.0054, 0.8189, 78.01
189, 0.0054, 0.8205, 77.98
190, 0.0053, 0.8210, 78.02
191, 0.0053, 0.8184, 77.96
192, 0.0053, 0.8200, 77.92
193, 0.0053, 0.8180, 78.04
194, 0.0052, 0.8179, 78.04
195, 0.0052, 0.8201, 78.02
196, 0.0052, 0.8180, 78.03
197, 0.0051, 0.8183, 78.02
198, 0.0051, 0.8176, 78.12
199, 0.0052, 0.8173, 77.99
200, 0.0052, 0.8185, 78.07
